,Time,tx,ty
25154,251.54,369.6728359,1133.25
25155,251.55,369.6867223,1133.25
25156,251.56,369.7006087,1133.25
25157,251.57,369.7144951,1133.25
25158,251.58,369.7283816,1133.25
25159,251.59,369.742268,1133.25
25160,251.6,369.7561545,1133.25
25161,251.61,369.770041,1133.25
25162,251.62,369.7839276,1133.25
25163,251.63,369.7978141,1133.25
25164,251.64,369.8117007,1133.25
25165,251.65,369.8255873,1133.25
25166,251.66,369.8394739,1133.25
25167,251.67,369.8533606,1133.25
25168,251.68,369.8672472,1133.25
25169,251.69,369.8811339,1133.25
25170,251.7,369.8950207,1133.25
25171,251.71,369.9089074,1133.25
25172,251.72,369.9227942,1133.25
25173,251.73,369.936681,1133.25
25174,251.74,369.9505678,1133.25
25175,251.75,369.9644547,1133.25
25176,251.76,369.9783416,1133.25
25177,251.77,369.9922285,1133.25
25178,251.78,370.0061155,1133.25
25179,251.79,370.0200024,1133.25
25180,251.8,370.0338895,1133.25
25181,251.81,370.0477765,1133.25
25182,251.82,370.0616636,1133.25
25183,251.83,370.0755507,1133.25
25184,251.84,370.0894378,1133.25
25185,251.85,370.103325,1133.25
25186,251.86,370.1172122,1133.25
25187,251.87,370.1310995,1133.25
25188,251.88,370.1449868,1133.25
25189,251.89,370.1588741,1133.25
25190,251.9,370.1727614,1133.25
25191,251.91,370.1866488,1133.25
25192,251.92,370.2005362,1133.25
25193,251.93,370.2144237,1133.25
25194,251.94,370.2283112,1133.25
25195,251.95,370.2421987,1133.25
25196,251.96,370.2560863,1133.25
25197,251.97,370.2699739,1133.25
25198,251.98,370.2838615,1133.25
25199,251.99,370.2977492,1133.25
25200,252,370.3116369,1133.25
25201,252.01,370.3255247,1133.25
25202,252.02,370.3394125,1133.25
25203,252.03,370.3533003,1133.25
25204,252.04,370.3671882,1133.25
25205,252.05,370.3810761,1133.25
25206,252.06,370.394964,1133.25
25207,252.07,370.408852,1133.25
25208,252.08,370.42274,1133.25
25209,252.09,370.436628,1133.25
25210,252.1,370.4505161,1133.25
25211,252.11,370.4644042,1133.25
25212,252.12,370.4782924,1133.25
25213,252.13,370.4921806,1133.25
25214,252.14,370.5060688,1133.25
25215,252.15,370.519957,1133.25
25216,252.16,370.5338453,1133.25
25217,252.17,370.5477337,1133.25
25218,252.18,370.561622,1133.25
25219,252.19,370.5755104,1133.25
25220,252.2,370.5893989,1133.25
25221,252.21,370.6032873,1133.25
25222,252.22,370.6171759,1133.25
25223,252.23,370.6310644,1133.25
25224,252.24,370.644953,1133.25
25225,252.25,370.6588416,1133.25
25226,252.26,370.6727303,1133.25
25227,252.27,370.686619,1133.25
25228,252.28,370.7005077,1133.25
25229,252.29,370.7143965,1133.25
25230,252.3,370.7282853,1133.25
25231,252.31,370.7421741,1133.25
25232,252.32,370.756063,1133.25
25233,252.33,370.769952,1133.25
25234,252.34,370.7838409,1133.25
25235,252.35,370.7977299,1133.25
25236,252.36,370.811619,1133.25
25237,252.37,370.8255081,1133.25
25238,252.38,370.8393972,1133.25
25239,252.39,370.8532864,1133.25
25240,252.4,370.8671756,1133.25
25241,252.41,370.8810648,1133.25
25242,252.42,370.8949541,1133.25
25243,252.43,370.9088435,1133.25
25244,252.44,370.9227329,1133.25
25245,252.45,370.9366223,1133.25
25246,252.46,370.9505118,1133.25
25247,252.47,370.9644013,1133.25
25248,252.48,370.9782908,1133.25
